LINE,CNV_MYC_1,CNV_MYC_2,CNV_MYC_3,CNV_MYC_4,CNV_MYC_5,MYC_1,MYC_2,MYC_3,MYC_4,MYC_5,MIR17_1,MIR17_2,MIR17_3,MIR17_4,MIR17_5,MIR19A_1,MIR19A_2,MIR19A_3,MIR19A_4,MIR19A_5,MIR20A_1,MIR20A_2,MIR20A_3,MIR20A_4,MIR20A_5
13-1,1,2,3,4,5,6.17133,12.1895,18.0654,23.8087,29.428,355.045,682.863,1002.93,1315.78,1621.86,48.6505,93.5703,137.428,180.296,222.238,159.408,306.592,450.297,590.757,728.185
14-1,1,2,3,4,5,34.7343,68.7618,102.124,134.859,167,557.01,1078.92,1590.62,2092.7,2585.67,15.9999,30.9914,45.6899,60.1118,74.2723,263.465,510.326,752.361,989.842,1223.02
15-1,1,2,3,4,5,10.2868,20.5694,30.848,41.1224,51.3927,165.602,302.083,438.51,574.883,711.201,6.58021,12.0033,17.4243,22.8431,28.2597,45.5129,83.0226,120.517,157.997,195.462
16-1,1,2,3,4,5,15.366,30.7303,46.093,61.454,76.8134,403.927,772.963,1141.96,1510.92,1879.84,10.9169,20.8909,30.8637,40.8355,50.8063,128.274,245.468,362.65,479.819,596.976
17-1,1,2,3,4,5,30.7749,61.5008,92.1778,122.806,153.386,258.632,473.389,687.806,901.882,1115.62,26.5264,48.5528,70.5443,92.5009,114.423,98.6451,180.556,262.336,343.988,425.51
18-1,1,2,3,4,5,58.8918,117.444,175.663,233.554,291.122,359.794,712.53,1063.26,1412.01,1758.81,29.222,57.8706,86.3561,114.681,142.848,205.076,406.128,606.035,804.815,1002.49
19-1,1,2,3,4,5,26.4595,40.9165,52.1671,61.7066,70.1378,1318.88,1922.98,2393.09,2791.71,3144.01,109.454,159.588,198.603,231.684,260.921,644.488,939.687,1169.41,1364.2,1536.36
20-1,1,2,3,4,5,17.2023,34.2576,51.1697,67.9422,84.5783,498.37,963.641,1425,1882.56,2336.39,32.8383,63.4957,93.8956,124.044,153.948,189.947,367.279,543.121,717.511,890.484
21-1,1,2,3,4,5,25.9121,51.8238,77.7351,103.646,129.557,424.053,816.828,1209.6,1602.36,1995.12,7.6096,14.6579,21.7062,28.7543,35.8023,160.292,308.761,457.229,605.694,754.156
22-1,1,2,3,4,5,15.1296,30.2584,45.3865,60.5137,75.6402,686.047,1348.92,2011.76,2674.57,3337.34,25.6755,50.4837,75.2906,100.096,124.901,158.161,310.979,463.789,616.592,769.387
23-1,1,2,3,4,5,3.08859,5.58721,7.74283,9.66692,11.4211,214.131,348.629,464.663,568.235,662.663,12.6165,20.5411,27.3778,33.4803,39.0439,63.7835,103.847,138.41,169.261,197.389
24-1,1,2,3,4,5,20.3473,40.6939,61.0398,81.3849,101.729,180.631,349.151,517.666,686.176,854.679,18.5105,35.78,53.049,70.3173,87.5851,131.129,253.467,375.8,498.13,620.455
25-1,1,2,3,4,5,6.95221,13.9043,20.8563,27.8081,34.7599,342.564,659.198,975.826,1292.45,1609.07,9.04127,17.3982,25.755,34.1116,42.4681,99.956,192.346,284.734,377.121,469.507
26-1,1,2,3,4,5,30.9201,61.8237,92.711,123.582,154.436,396.009,745.515,1094.84,1443.97,1792.92,5.63167,10.602,15.5697,20.5348,25.4972,79.6111,149.873,220.099,290.287,360.437
27-1,1,2,3,4,5,14.5235,29.0446,43.5631,58.0792,72.5928,110.871,200.166,289.445,378.709,467.958,5.56094,10.0397,14.5176,18.9948,23.4712,33.018,59.6103,86.1981,112.781,139.36
28-1,1,2,3,4,5,18.7411,37.4812,56.2201,74.958,93.6948,33.5117,65.327,97.1405,128.952,160.762,30.6047,59.6602,88.7139,117.766,146.816,244.901,477.405,709.896,942.373,1174.84
29-1,1,2,3,4,5,20.7789,40.8259,60.2134,79.0024,97.2452,363.418,684.243,994.512,1295.2,1587.16,24.9167,46.9131,68.1859,88.802,108.819,171.378,322.671,468.986,610.784,748.461
30-1,1,2,3,4,5,21.5647,43.1203,64.6668,86.2042,107.733,376.242,727.258,1078.13,1428.85,1779.42,27.8419,53.817,79.7812,105.734,131.677,152.753,295.265,437.717,580.108,722.44
31-1,1,2,3,4,5,35.1403,68.1488,99.3719,129.071,157.451,1453.81,2805.6,4084.28,5300.56,6462.78,80.0289,154.442,224.83,291.783,355.76,567.958,1096.06,1595.6,2070.76,2524.8
32-1,1,2,3,4,5,14.3505,28.7005,43.0499,57.3988,71.7471,506.945,967.982,1429,1890,2350.99,20.5704,39.2779,57.9847,76.6908,95.3963,163.648,312.477,461.299,610.117,758.928
33-1,1,2,3,4,5,46.5456,92.9027,139.073,185.06,230.865,555.132,1085.68,1614.1,2140.4,2664.63,13.0732,25.5674,38.0114,50.4058,62.7511,158.153,309.303,459.845,609.787,759.135
34-1,1,2,3,4,5,17.6071,29.9596,40.0548,48.8071,56.6421,810.93,1262.29,1631.17,1950.98,2237.27,23.6748,36.8521,47.6213,56.958,65.3161,215.02,334.7,432.509,517.306,593.217
35-1,1,2,3,4,5,18.8801,37.315,55.3348,72.9663,90.2336,1403.66,1533.5,1660.42,1784.6,1906.21,84.0272,91.7997,99.3972,106.831,114.111,645.357,705.052,763.403,820.496,876.41
36-1,1,2,3,4,5,3.76991,7.11786,10.1601,12.9677,15.5877,190.631,342.355,480.226,607.461,726.198,18.8104,33.7817,47.3859,59.9407,71.657,69.065,124.034,173.984,220.081,263.099
37-1,1,2,3,4,5,7.03284,13.5905,19.758,25.5976,31.1567,257.48,479.668,688.637,886.497,1074.85,19.8846,37.0437,53.1818,68.4621,83.0083,98.9125,184.268,264.544,340.554,412.912
38-1,1,2,3,4,5,12.2808,24.5585,36.8332,49.1049,61.3736,257.843,494.862,731.822,968.724,1205.57,7.29118,13.9935,20.6942,27.3932,34.0906,58.3294,111.948,165.553,219.145,272.724
39-1,1,2,3,4,5,30.1133,60.1616,90.1452,120.065,149.92,460.845,903.694,1345.59,1786.54,2226.55,38.8473,76.1775,113.427,150.598,187.689,170.821,334.972,498.769,662.216,825.314
40-1,1,2,3,4,5,38.4772,76.9519,115.424,153.894,192.362,375.966,732.642,1089.3,1445.93,1802.54,13.0411,25.4132,37.7845,50.155,62.5247,121.505,236.776,352.04,467.297,582.547
41-1,1,2,3,4,5,33.7,67.3975,101.093,134.785,168.476,123.526,235.025,346.516,457.998,569.473,4.46797,8.5009,12.5335,16.5659,20.598,55.9809,106.511,157.038,207.561,258.08
42-1,1,2,3,4,5,8.27865,16.2134,23.8439,31.2025,38.3166,154.345,281.164,403.12,520.732,634.434,10.9345,19.919,28.5589,36.8911,44.9463,56.7753,103.425,148.286,191.55,233.375
43-1,1,2,3,4,5,25.8253,45.0214,61.01,75.0058,87.6081,864.007,1381.17,1811.91,2188.97,2528.49,49.159,78.5836,103.092,124.545,143.862,300.914,481.029,631.049,762.37,880.616
44-1,1,2,3,4,5,17.4935,34.9864,52.4787,69.9704,87.4614,720.96,1416.65,2112.32,2807.97,3503.59,17.5844,34.5525,51.5201,68.487,85.4534,405.145,796.093,1187.03,1577.95,1968.85
45-1,1,2,3,4,5,16.9052,33.8071,50.7057,67.601,84.493,206.46,390.766,575.036,759.27,943.467,3.94509,7.46685,10.9879,14.5083,18.028,65.7513,124.447,183.131,241.804,300.466
46-1,1,2,3,4,5,4.0927,6.90179,9.18316,11.155,12.917,257.311,357.57,438.995,509.373,572.26,11.9577,16.617,20.4009,23.6715,26.594,65.5458,91.0855,111.827,129.755,145.774
47-1,1,2,3,4,5,34.9834,69.9659,104.947,139.928,174.907,183.508,353.226,522.939,692.647,862.351,14.969,28.813,42.6567,56.5,70.3429,41.026,78.9691,116.911,154.852,192.792
48-1,1,2,3,4,5,10.3695,20.737,31.1024,41.4657,51.8269,105.636,193.298,280.943,368.57,456.18,2.95576,5.40861,7.86096,10.3128,12.7642,54.617,99.9412,145.256,190.562,235.859
49-1,1,2,3,4,5,59.9759,119.95,179.922,239.892,299.86,276.115,541.823,807.523,1073.21,1338.9,8.92686,17.5173,26.1074,34.6972,43.2868,122.513,240.408,358.3,476.188,594.071
50-1,1,2,3,4,5,39.5981,77.1881,113.048,147.396,180.409,553.077,1064.53,1552.44,2019.79,2468.97,36.02,69.3294,101.105,131.542,160.796,232.456,447.418,652.485,848.908,1037.7
51-1,1,2,3,4,5,5.37037,10.7379,16.1025,21.4642,26.8232,204.329,377.078,549.735,722.3,894.773,8.66511,15.991,23.3129,30.631,37.9451,70.9984,131.024,191.017,250.978,310.907
52-1,1,2,3,4,5,3.83763,7.67504,11.5122,15.3492,19.186,642.183,1223.09,1803.96,2384.8,2965.61,30.603,58.2858,85.967,113.647,141.325,256.777,489.052,721.314,953.563,1185.8
53-1,1,2,3,4,5,51.7708,96.3242,136.035,172.205,205.64,832.066,1532.69,2157.15,2725.95,3251.73,33.6707,62.0223,87.2922,110.309,131.586,361.816,666.475,938.018,1185.35,1413.99
54-1,1,2,3,4,5,29.8157,58.3093,85.6424,111.946,137.329,161.742,303.738,439.951,571.035,697.528,7.07618,13.2885,19.2478,24.9827,30.5168,62.6747,117.698,170.481,221.275,270.291
55-1,1,2,3,4,5,17.7792,35.5534,53.3225,71.0865,88.8455,767.821,1510.61,2253.18,2995.54,3737.69,33.6332,66.1698,98.697,131.215,163.724,382.741,753.002,1123.16,1493.21,1863.15
56-1,1,2,3,4,5,1.55335,3.10647,4.65935,6.21199,7.76439,682.149,1131.76,1581.3,2030.78,2480.18,37.1078,61.5658,86.0201,110.471,134.918,271.121,449.82,628.491,807.135,985.751
57-1,1,2,3,4,5,11.2674,22.5347,33.8016,45.0684,56.335,354.77,681.37,1007.96,1334.55,1661.13,10.5406,20.2443,29.9478,39.6511,49.3543,170.992,328.406,485.818,643.226,800.632
58-1,1,2,3,4,5,13.6689,27.3367,41.0036,54.6694,68.3342,323.181,615.08,906.958,1198.81,1490.65,40.4411,76.9678,113.492,150.013,186.532,121.672,231.567,341.453,451.332,561.202
59-1,1,2,3,4,5,14.5525,22.6637,28.9907,34.3608,39.1096,769.058,1148.22,1443.99,1695.02,1917,43.0394,64.2589,80.8109,94.8596,107.283,294.754,440.075,553.432,649.643,734.723
60-1,1,2,3,4,5,28.9956,57.9902,86.9839,115.977,144.968,429.251,844.443,1259.62,1674.78,2089.93,17.3407,34.1134,50.8856,67.6572,84.4283,191.986,377.684,563.376,749.062,934.741
61-1,1,2,3,4,5,37.9344,75.8583,113.772,151.675,189.568,493.056,967.159,1441.13,1914.98,2388.69,15.9417,31.2707,46.5954,61.916,77.2323,163.404,320.526,477.606,634.642,791.635
62-1,1,2,3,4,5,141.818,283.633,425.445,567.255,709.062,539.638,1052.57,1565.5,2078.42,2591.33,9.38698,18.3095,27.2318,36.154,45.076,226.776,442.331,657.882,873.429,1088.97
63-1,1,2,3,4,5,13.7756,27.2621,40.4768,53.4358,66.1531,189.563,350.626,508.444,663.207,815.085,13.3332,24.6618,35.7622,46.6477,57.3302,75.9414,140.465,203.689,265.689,326.533
64-1,1,2,3,4,5,22.5944,45.1723,67.7337,90.2787,112.807,572.828,1098.75,1624.29,2149.45,2674.22,15.5982,29.9191,44.2297,58.5297,72.8194,142.535,273.399,404.168,534.841,665.419
65-1,1,2,3,4,5,65.2676,130.528,195.782,261.029,326.269,1309.66,2595.2,3880.6,5165.86,6450.98,53.1888,105.398,157.601,209.799,261.992,376.681,746.422,1116.12,1485.79,1855.41
66-1,1,2,3,4,5,22.4817,44.9571,67.4264,89.8895,112.346,197.664,374.545,551.378,728.163,904.899,6.91416,13.1014,19.2869,25.4707,31.6529,72.802,137.95,203.08,268.191,333.285
67-1,1,2,3,4,5,21.2558,42.5107,63.7648,85.0182,106.271,211.112,409.373,607.626,805.872,1004.11,20.2565,39.2798,58.3024,77.3244,96.3455,141.509,274.403,407.293,540.177,673.057
68-1,1,2,3,4,5,28.4646,56.9278,85.3898,113.85,142.31,719.836,1407.34,2094.8,2782.24,3469.64,22.6505,44.2835,65.9155,87.5465,109.176,389.564,761.628,1133.68,1505.7,1877.72
69-1,1,2,3,4,5,19.0168,38.033,57.0486,76.0636,95.078,618.587,1207.81,1797.02,2386.2,2975.37,16.6578,32.5248,48.3913,64.2573,80.1228,177.833,347.224,516.61,685.991,855.366
70-1,1,2,3,4,5,34.0725,67.243,99.5796,131.142,161.984,392.86,761.428,1120.73,1471.43,1814.12,49.6935,96.3143,141.763,186.124,229.471,138.454,268.348,394.975,518.572,639.345
71-1,1,2,3,4,5,10.8066,21.6088,32.4068,43.2004,53.9897,428.265,821.929,1215.44,1608.78,2001.98,26.3614,50.593,74.8149,99.0271,123.23,165.083,316.828,468.513,620.137,771.7
72-1,1,2,3,4,5,21.4068,42.7831,64.129,85.4447,106.73,825.274,1590.13,2353.91,3116.6,3878.21,22.1055,42.5928,63.051,83.4802,103.881,316.845,610.495,903.729,1196.55,1488.95
73-1,1,2,3,4,5,7.10904,14.2171,21.3241,28.4302,35.5352,135.696,255.452,375.191,494.914,614.62,3.16168,5.95198,8.74188,11.5314,14.3205,38.7946,73.0323,107.265,141.493,175.716
74-1,1,2,3,4,5,10.3351,20.6677,30.9978,41.3253,51.6503,507.613,961.319,1414.91,1868.4,2321.77,47.7592,90.4466,133.124,175.79,218.446,197.859,374.706,551.509,728.269,904.986
75-1,1,2,3,4,5,4.22118,6.55748,8.37833,9.92322,11.2891,251.443,371.987,465.937,545.648,616.122,9.91123,14.6628,18.366,21.508,24.2859,81.121,120.011,150.321,176.038,198.774
76-1,1,2,3,4,5,15.176,30.3517,45.527,60.7019,75.8765,227.299,442.696,658.089,873.477,1088.86,11.963,23.2997,34.6361,45.9722,57.3081,87.6423,170.696,253.747,336.796,419.844
77-1,1,2,3,4,5,34.6365,69.2589,103.867,138.461,173.042,381.446,750.206,1118.82,1487.28,1855.59,23.2125,45.6531,68.0845,90.5068,112.92,151.747,298.448,445.089,591.67,738.192
78-1,1,2,3,4,5,62.8283,125.626,188.394,251.131,313.838,141.724,273.183,404.579,535.911,667.179,3.2256,6.21757,9.20808,12.1972,15.1848,50.1983,96.7607,143.301,189.818,236.313
79-1,1,2,3,4,5,7.22088,13.8993,20.1419,26.0241,31.602,194.016,353.817,503.188,643.937,777.406,9.05791,16.5185,23.4921,30.0632,36.2944,68.0809,124.156,176.571,225.96,272.795
80-1,1,2,3,4,5,8.80615,16.274,22.8746,28.8543,34.361,325.255,581.49,807.97,1013.14,1202.09,16.1869,28.9388,40.21,50.4208,59.824,109.515,195.79,272.046,341.129,404.748
81-1,1,2,3,4,5,2.06706,3.84593,5.43142,6.87554,8.21048,10.947,15.855,20.2295,24.2139,27.8971,2.12532,3.07819,3.92747,4.70103,5.41611,6.19328,8.96997,11.4448,13.699,15.7827
82-1,1,2,3,4,5,43.198,86.3949,129.591,172.785,215.978,484.239,955.826,1427.4,1898.96,2370.51,14.0506,27.7342,41.4173,55.1001,68.7825,217.073,428.474,639.87,851.259,1062.64
83-1,1,2,3,4,5,43.0618,86.0531,128.974,171.825,214.607,719.817,1416.28,2111.6,2805.79,3498.85,27.8682,54.832,81.7519,108.628,135.46,226.005,444.676,662.989,880.948,1098.55
84-1,1,2,3,4,5,2.32887,4.6363,6.92287,9.18913,11.4356,1.68603,2.13996,2.58979,3.03562,3.47757,0.352323,0.44718,0.541179,0.634343,0.726695,3.14637,3.99348,4.83292,5.66491,6.48964
85-1,1,2,3,4,5,22.701,44.8939,66.6113,87.8825,108.734,718.823,1382.31,2031.58,2667.51,3290.9,30.0482,57.7833,84.9242,111.507,137.566,463.412,891.15,1309.72,1719.7,2121.58
86-1,1,2,3,4,5,45.2848,90.5692,135.853,181.137,226.42,304.571,576.09,847.607,1119.12,1390.63,3.42719,6.48246,9.53771,12.5929,15.6481,104.753,198.137,291.521,384.905,478.287
87-1,1,2,3,4,5,17.4283,34.809,52.1425,69.4291,86.6692,923.579,1791.94,2657.95,3521.61,4382.95,37.4598,72.6801,107.805,142.834,177.77,297.095,576.429,855.004,1132.83,1409.9
88-1,1,2,3,4,5,20.0288,40.0283,59.9986,79.9398,99.8522,217.566,394.351,570.878,747.148,923.163,9.25024,16.7666,24.272,31.7665,39.2501,72.8918,132.121,191.263,250.32,309.291
89-1,1,2,3,4,5,8.20751,15.9821,23.3859,30.4673,37.2651,891.206,1631.22,2335.93,3009.96,3656.99,45.9944,84.1858,120.555,155.341,188.734,347.185,635.469,910.002,1172.58,1424.65
90-1,1,2,3,4,5,3.1491,4.86819,6.20587,7.34006,8.34244,601.62,871.191,1080.95,1258.81,1415.99,30.5486,44.2367,54.8878,63.9187,71.9001,225.685,326.809,405.497,472.214,531.179
91-1,1,2,3,4,5,28.6556,57.2729,85.852,114.393,142.897,600.729,1182.86,1764.23,2344.81,2924.63,56.0445,110.354,164.592,218.757,272.851,434.345,855.247,1275.59,1695.37,2114.6
92-1,1,2,3,4,5,14.8853,29.4821,43.8067,57.8737,71.6966,384.157,737.349,1083.95,1424.32,1758.79,13.346,25.6162,37.6576,49.4824,61.102,104.92,201.383,296.046,389.007,480.355
93-1,1,2,3,4,5,15.9561,31.0982,45.5394,59.3689,72.6584,66.6091,118.547,168.08,215.516,261.099,2.69127,4.78976,6.79111,8.70769,10.5494,24.2215,43.1078,61.12,78.3692,94.9449
94-1,1,2,3,4,5,25.9391,51.5461,76.8334,101.813,126.495,1501.32,2936.25,4353.27,5753.03,7136.14,68.6173,134.201,198.965,262.941,326.155,597.226,1168.04,1731.74,2288.56,2838.77
95-1,1,2,3,4,5,17.7171,35.4334,53.1489,70.8635,88.5773,204.854,368.402,531.943,695.476,859.002,23.0821,41.5101,59.9372,78.3634,96.7888,105.889,190.427,274.961,359.491,444.018
96-1,1,2,3,4,5,29.0153,58.0293,87.0421,116.054,145.064,494.467,968.321,1442.15,1915.97,2389.76,19.9471,39.0626,58.1773,77.2912,96.4042,152.484,298.611,444.732,590.846,736.954
97-1,1,2,3,4,5,2.0554,2.9904,3.70886,4.31489,4.84898,828.858,1181.17,1451.88,1680.23,1881.48,35.5507,50.6617,62.273,72.0673,80.6989,555.646,791.826,973.307,1126.39,1261.3
98-1,1,2,3,4,5,92.4937,184.985,277.475,369.963,462.448,269.803,530.408,791.007,1051.6,1312.19,11.2238,22.065,32.9059,43.7467,54.5871,132.815,261.102,389.387,517.669,645.948
99-1,1,2,3,4,5,18.4994,36.9981,55.4962,73.9937,92.4905,353.564,678.338,1003.1,1327.85,1652.59,18.4322,35.3635,52.2942,69.2244,86.154,130.701,250.76,370.814,490.865,610.911
100-1,1,2,3,4,5,24.8749,49.3162,73.3457,96.9836,120.248,194.546,368.208,538.944,706.897,872.2,10.2515,19.4026,28.3995,37.2497,45.9603,90.3999,171.096,250.432,328.475,405.287
101-1,1,2,3,4,5,46.9616,93.8039,140.528,187.134,233.624,646.173,1254.48,1861.24,2466.48,3070.21,37.4208,72.6486,107.787,142.838,177.8,251.191,487.662,723.535,958.815,1193.5
102-1,1,2,3,4,5,41.4205,82.7176,123.892,164.946,205.879,509.027,987.827,1465.21,1941.19,2415.77,26.7365,51.8853,76.9597,101.96,126.888,230.436,447.188,663.299,878.773,1093.62
103-1,1,2,3,4,5,21.8008,43.6006,65.3993,87.197,108.994,232.38,448.98,665.569,882.148,1098.72,12.1525,23.4798,34.8065,46.1327,57.4583,70.8402,136.87,202.896,268.92,334.94
104-1,1,2,3,4,5,35.2699,70.5316,105.785,141.031,176.268,1550,3020.93,4491.52,5961.77,7431.68,20.7961,40.5314,60.2621,79.9883,99.7099,476.924,929.52,1382.01,1834.4,2286.68
105-1,1,2,3,4,5,8.88161,17.1611,24.9464,32.3167,39.3321,232.122,437.013,629.676,812.07,985.68,7.68765,14.4734,20.8542,26.8949,32.6447,88.4355,166.496,239.899,309.388,375.531
106-1,1,2,3,4,5,8.67138,17.3357,25.9929,34.6431,43.2862,489.267,944.843,1400.05,1854.88,2309.35,14.6186,28.2305,41.8314,55.4211,68.9998,200.092,386.406,572.568,758.579,944.438
107-1,1,2,3,4,5,21.271,42.1745,62.7291,82.9516,102.858,163.448,300.561,435.384,568.028,698.597,2.58147,4.74699,6.87636,8.97132,11.0335,43.6133,80.1993,116.174,151.568,186.408
108-1,1,2,3,4,5,43.1749,85.6236,127.382,168.481,208.953,622.514,1201.04,1770.16,2330.31,2881.9,25.8721,49.9162,73.5691,96.8492,119.774,158.928,306.628,451.924,594.93,735.751
109-1,1,2,3,4,5,13.557,27.1135,40.6693,54.2246,67.7793,393.548,753.567,1113.57,1473.56,1833.53,23.2067,44.4364,65.6651,86.893,108.12,122.803,235.144,347.48,459.811,572.137
110-1,1,2,3,4,5,13.2402,26.4682,39.6839,52.8874,66.0786,378.437,724.555,1070.35,1415.83,1760.99,13.2013,25.2751,37.3378,49.3894,61.4298,128.812,246.623,364.325,481.918,599.403
111-1,1,2,3,4,5,26.2621,52.2556,77.9884,103.468,128.703,258.371,493.75,726.769,957.498,1186,7.85158,15.0044,22.0856,29.0971,36.0411,74.1335,141.67,208.529,274.731,340.295
112-1,1,2,3,4,5,6.46651,12.8464,19.1431,25.3598,31.4994,1737.91,3413.1,5066.44,6698.77,8310.86,78.3575,153.887,228.431,302.028,374.712,568.462,1116.41,1657.21,2191.13,2718.44
113-1,1,2,3,4,5,26.2679,52.5322,78.7927,105.05,131.303,698.28,1376.88,2055.39,2733.79,3412.11,34.2579,67.5504,100.838,134.121,167.4,207.734,409.613,611.464,813.287,1015.08
114-1,1,2,3,4,5,43.8576,87.7106,131.559,175.403,219.242,899.432,1784.97,2670.41,3555.76,4441.02,36.9552,73.3394,109.72,146.096,182.469,470.973,934.668,1398.32,1861.91,2325.47
115-1,1,2,3,4,5,17.0159,25.6694,32.3582,38.0138,43.0046,839.757,1138.08,1368.68,1563.66,1735.71,41.6547,56.4528,67.891,77.5625,86.0971,191.278,259.231,311.755,356.167,395.357
116-1,1,2,3,4,5,19.1242,35.3317,49.6522,62.6227,74.5654,976.367,1760.18,2452.74,3080,3657.56,45.5258,82.0734,114.366,143.614,170.544,365.021,658.054,916.97,1151.48,1367.4
117-1,1,2,3,4,5,13.9723,27.942,41.909,55.8734,69.8352,835.019,1661.15,2487.12,3312.93,4138.59,95.0567,189.101,283.128,377.137,471.129,335.545,667.517,999.426,1331.27,1663.06
118-1,1,2,3,4,5,9.65002,19.2993,28.9477,38.5954,48.2422,388.684,744.805,1100.9,1456.96,1812.99,44.5367,85.3423,126.144,166.943,207.739,133.61,256.026,378.432,500.829,623.215
119-1,1,2,3,4,5,6.17712,9.36735,11.8363,13.925,15.7687,242.349,341.009,417.365,481.959,538.976,14.0901,19.8262,24.2654,28.0209,31.3359,67.8335,95.4487,116.82,134.9,150.859
120-1,1,2,3,4,5,6.58443,9.80299,12.2841,14.3797,16.2278,861.74,1276.51,1596.26,1866.31,2104.48,57.6285,85.3664,106.749,124.809,140.736,601.436,890.92,1114.08,1302.56,1468.79
121-1,1,2,3,4,5,5.94342,9.26537,11.8575,14.058,16.0039,433.839,636.272,794.233,928.322,1046.91,51.1773,75.057,93.6907,109.508,123.497,144.383,211.753,264.323,308.949,348.414
122-1,1,2,3,4,5,18.5154,37.0266,55.5336,74.0364,92.535,599.195,1158.14,1716.96,2275.65,2834.21,44.0377,85.1172,126.187,167.248,208.3,475.043,918.175,1361.21,1804.14,2246.97
123-1,1,2,3,4,5,77.5428,155.084,232.623,310.16,387.696,321.358,630.773,940.181,1249.58,1558.97,10.6586,20.9211,31.1833,41.4453,51.7071,139.361,273.543,407.722,541.898,676.07
124-1,1,2,3,4,5,100.242,200.477,300.704,400.923,501.134,592.773,1179.03,1765.24,2351.4,2937.52,26.289,52.289,78.2869,104.283,130.277,349.937,696.025,1042.09,1388.12,1734.13
125-1,1,2,3,4,5,73.4098,146.806,220.188,293.556,366.911,1626.99,3195.12,4762.96,6330.5,7897.74,27.0979,53.2156,79.3283,105.436,131.539,428.253,841.013,1253.7,1666.3,2078.83
126-1,1,2,3,4,5,5.6754,8.57018,10.8082,12.7008,14.3709,465.293,673.645,834.73,970.946,1091.16,36.4479,52.7688,65.3871,76.0574,85.4738,125.629,181.884,225.377,262.155,294.612
127-1,1,2,3,4,5,9.04293,17.9217,26.6449,35.2205,43.6557,242.924,456.315,665.967,872.072,1074.8,12.4907,23.4629,34.2429,44.8405,55.2645,91.3115,171.522,250.327,327.799,404.002
128-1,1,2,3,4,5,8.92178,17.8391,26.7521,35.6607,44.5648,262.439,493.674,724.795,955.801,1186.69,12.3684,23.2662,34.1586,45.0456,55.9273,110.796,208.418,305.992,403.518,500.995
129-1,1,2,3,4,5,6.18862,9.82916,12.6904,15.1267,17.2851,443.653,675.945,858.514,1013.97,1151.69,11.905,18.1384,23.0375,27.209,30.9045,102.08,155.527,197.534,233.303,264.99
130-1,1,2,3,4,5,36.575,73.1168,109.626,146.101,182.544,515.897,1004.03,1491.72,1978.97,2465.77,24.525,47.7301,70.9141,94.0772,117.219,166.16,323.378,480.453,637.386,794.177
